Place of interest,Type of place,Place address,BiciMAD station,Station location,Available bikes,Available docks,distance
Estanque sur del parque Juan Carlos I,Monument,PARQUE JUAN CARLOS I 1,"Calle del Boj, 5","Calle del Boj, 5,",8,14,631.72
Estanque sur en la avenida de los Poblados,Monument,PARQUE CRUCES ,"382-Parque Eugenia de Montijo, 2","Parque Eugenia de Montijo, 2,",15,9,576.82
Estanque Toledo-Acacias,Monument, ,Pirámides,"Calle Toledo nº 181,",20,4,68.84
Estanque trapezoidal Costillares,Monument,C Serrano Galvache 4,Calle Serrano Galvache,"Calle Serrano Galvache,",9,14,236.02
Estanque triple Cuzco,Monument,PASEO CASTELLANA 137,Sor Ángela de la Cruz,"Calle Sor Ángela de la Cruz nº 2,",5,19,43.62
Estanque Vaguada,Monument,AVENIDA BETANZOS 1,"Calle Valle de Mena, 5","Calle Valle de Mena, 5,",11,11,312.98
Estanque y cascada Cuzco,Monument,Pº Castellana 149,Sor Ángela de la Cruz,"Calle Sor Ángela de la Cruz nº 2,",5,19,126.54
Estanque y fuente del Parque de Atracciones,Monument,PARQUE ATRACCIONES CASA CAMPO ,"Calle El Greco, 27","Calle El Greco, 27,",8,16,771.26
Estanque óvalo del Retiro,Monument,Pº Panamá ,"Menéndez Pelayo, entrada Florida Park","Menéndez Pelayo, entrada Florida Park,",6,17,148.97
Estanques con dos fuentes en la Quinta de los Molinos,Monument,CALLE ALCALA 527,"Calle Alcala, 506","Calle Alcalá, 506,",12,11,39.64
Estanques del Parterre,Monument, ,"Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",22,5,243.93
Estanques en cascada de los jardines de Cecilio Rodríguez,Monument, ,Puerta del Doce de Octubre,"Avenida de Menéndez Pelayo nº 63,",3,24,122.52
Estanques gemelos de la antigua Casa de Fieras,Monument, ,Puerta del Doce de Octubre,"Avenida de Menéndez Pelayo nº 63,",3,24,85.81
Estanques largos de los jardines de Cecilio Rodríguez,Monument, ,Puerta del Pacífico ,"Avenida de Menéndez Pelayo nº 69,",9,18,204.32
Estanques Puente de Segovia,Monument,Puente de Segovia ,Paseo virgen de puerto,"Paseo virgen de puerto,",16,0,363.43
Estanques rectangulares Pradolongo,Monument, ,"Avenida de los Poblados, 130","Avenida de los Poblados, 130,",17,6,177.65
Estanques-graderíos,Monument,JARDIN TRES CULTURAS ,"Bahía de Cádiz, 2","Bahía de Cádiz, 2,",3,20,905.1
Estatua La Paz,Monument,Pº Castellana 261,Manuel Caldeiro,"Paseo de la Castellana nº 298,",5,19,111.66
Estatua Virgen María,Monument,C Gómez de Arteche 30,"Alfredo Aleix, 7","381 - Alfredo Aleix, 7,",3,12,134.78
Estela de Venus,Monument,Pº Castellana 41,Castellana 42,"Paseo de la Castellana nº 42,",2,21,95.65
Estructura permutacional,Monument,Pº Castellana 41,Castellana 42,"Paseo de la Castellana nº 42,",2,21,74.27
Estructuración hiperpoliédrica del espacio,Monument,PASEO CASTELLANA 41,Glorieta de Em,"Paseo de la Castellana nº 43,",2,10,54.81
Estudiante,Monument,CALLE NUESTRA SEÑORA DE LA LUZ 53,"Calle Ocaña, 103","Calle Ocaña, 103,",3,20,143.27
Eugenio de Santa Cruz y Espejo,Monument,PASEO CAMOENS Y VALERO 2,Paseo de Moret,"Paseo de Moret nº 11,",3,20,200.49
Eugenio d'Ors,Monument,Pza Cordón 2,Plaza del Cordón,"Plaza del Cordón,",1,23,9.0
Eugenio d´Ors Rovira,Monument,Pº Prado ,Huertas,"Calle Jesús nº 1,",4,22,196.09
Eugenio María de Hostos,Monument, ,Paseo de Moret,"Paseo de Moret nº 11,",3,20,230.93
Eurico,Monument,Pza Oriente ,Plaza Ramales,"Plaza de Ramales,",3,20,116.28
Eva Perón,Monument,Avda Francisco Silvela 4,Ortega y Gasset 87,"Calle Ortega y Gasset nº 87,",2,21,137.54
Evaristo San Miguel,Monument,C Francisco y Jacinto Alcántara 1,Pintor Rosales,"Paseo del Pintor Rosales frente al nº 38,",2,22,356.54
Exedra,Monument, ,"Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",22,5,141.42
Explanada de la Selección Española de Fútbol,Monument, Explanada de la Selección Española de Fútbol ,Paseo de la Florida,"Paseo de la Florida nº 8,",23,4,527.42
Facultad de Farmacia,Monument,Pza Ramón y Cajal 2,Ciudad Universitaria 1,"Avenida de la Complutense (Metro Ciudad Universitaria),",7,17,114.05
Fama,Monument,C Barceló ,Barceló,"Calle Barceló nº 7,",15,4,58.04
Familia,Monument, ,"Vicente Muzas, 12","Vicente Muzas, 12,",8,15,78.23
Familia,Monument,Trav Felipe de Diego ,"Calle de Romeo y Julieta, 12","Calle de Romeo y Julieta, 12,",21,5,169.63
Farolero madrileño,Monument,C Concepción Jerónima 15,Conde de Romanones,"Plaza del Conde de Romanones nº 9,",2,15,74.39
Fauna Mayor Ibérica I,Monument,C Arturo Soria ,"Jose del Hierro , 69","Jose del Hierro , 69,",3,20,30.41
Fauna Mayor Ibérica II,Monument,C Arturo Soria 101,"Diego Ayllon, 2","Diego Ayllon, 2,",9,14,211.43
Fauna Mayor Ibérica III,Monument,C Arturo Soria ,"Vicente Muzas, 12","Vicente Muzas, 12,",8,15,41.95
Fauno,Monument, ,Pirámides,"Calle Toledo nº 181,",20,4,51.44
Federico de Madrazo,Monument,C Los Madrazo 24,Marqués de Cubas,"Calle del Marqués de Cubas nº 25,",7,16,149.7
Federico García Lorca,Monument,Pº Federico García Lorca ,"Paseo de Federico Garcia Lorca, 4","Paseo de Federico Garcia Lorca, 4,",2,15,289.92
Federico García Lorca,Monument,Pza Santa Ana ,Plaza de Santa Ana,"Plaza de Santa Ana nº 10,",11,4,46.41
Federico García Lorca,Monument,C Alcalá 96,Plaza de Felipe II,"Plaza de Felipe II,",15,8,49.04
Federico Romero Sarachaga,Monument,CALLE EL ESPA&amp;Ntilde;OLETO 23,Santa Engracia 14,"Calle Santa Engracia nº 14,",3,20,265.65
Federico Rubio,Monument,PARQUE OESTE ,Moncloa,"Paseo de Moret nº 2,",6,16,338.93
Felipe II,Monument, ,San Quintín,"Calle Pavía nº 6,",11,16,241.63
Felipe III,Monument,Pza Mayor ,Calle Mayor,"Calle Mayor nº 20,",8,19,115.16
Felipe IV,Monument,Pza Oriente ,San Quintín,"Calle Pavía nº 6,",11,16,114.1
Felipe IV,Monument,C Méndez Núñez 1,Antonio Maura,"Calle Antonio Maura nº 15,",6,18,119.88
Felipe Picatoste Rodríguez,Monument,Pza Cordón 3,Plaza del Cordón,"Plaza del Cordón,",1,23,38.66
Ferenc Liszt,Monument,PLAZA CORTES 6,Marqués de Cubas,"Calle del Marqués de Cubas nº 25,",7,16,93.37
Fernando de Castro,Monument,C Arenal 16,Calle Mayor,"Calle Mayor nº 20,",8,19,128.48
Fernando Fresno,Monument,C Santa Isabel 28,Santa Isabel,"Calle Santa Isabel 32,",16,11,27.88
Fernando I,Monument,Pza Oriente ,San Quintín,"Calle Pavía nº 6,",11,16,100.15
Fernando III El Santo,Monument,JARDIN PALACIO REAL ,Plaza de España A,"Calle Princesa nº 5,",1,17,243.6
Fernando III El Santo,Monument, ,San Quintín,"Calle Pavía nº 6,",11,16,254.58
Fernando IV,Monument,Pº República Argentina ,Antonio Maura,"Calle Antonio Maura nº 15,",6,18,103.68
Fernando V El Católico,Monument, ,San Quintín,"Calle Pavía nº 6,",11,16,245.61
Fernando VI,Monument,Pza Villa de París ,Marqués de la Ensenada,"Calle Marqués de la Ensenada nº 16,",3,20,145.96
Fernán González 1er Conde Independiente de Castilla,Monument,Pza Oriente ,San Quintín,"Calle Pavía nº 6,",11,16,83.24
Fernández Caballero Manuel,Monument,C Cervantes 34,Huertas,"Calle Jesús nº 1,",4,22,115.81
Fernández Valliciergo Vicente,Monument,C Ballesta 7,Desengaño,"Calle Desengaño nº 1,",2,20,152.41
Figura femenina,Monument,Trav Felipe de Diego 20,"Calle de Romeo y Julieta, 12","Calle de Romeo y Julieta, 12,",21,5,194.76
Fisicromía para Madrid,Monument,PARQUE JUAN CARLOS I 1,"Calle del Boj, 5","Calle del Boj, 5,",8,14,631.72
Florestán Aguilar,Monument,C Florestán Aguilar 1,Ortega y Gasset 87,"Calle Ortega y Gasset nº 87,",2,21,107.02
Fofó,Monument,PARQUE ATRACCIONES CASA CAMPO ,"Calle El Greco, 27","Calle El Greco, 27,",8,16,771.26
Fomento,Monument,PASEO CASTELLANA 67,Castellana 106,"Paseo de la Castellana nº 106,",2,21,135.84
Fontines del jardín de los Planteles del Retiro,Monument,PARQUE RETIRO ,Castelló,"Calle Alcalá nº 111,",5,22,107.72
Foro-patio del parque Clara Eugenia,Monument, ,"Calle de Santa Virgilia, 6","Calle de Santa Virgilia, 6,",1,10,476.82
Fortuna,Monument,CALLE GUZMAN EL BUENO 137,Reina Victoria,"Calle Beatriz de Bobadilla frente al nº 2,",4,18,260.81
Fosa enterramiento,Monument,CALLE FRANCISCO Y JACINTO ALCANTARA 1,Pintor Rosales,"Paseo del Pintor Rosales frente al nº 38,",2,22,219.74
Francisco Alcántara,Monument,CALLE FRANCISCO Y JACINTO ALCANTARA 1,Pintor Rosales,"Paseo del Pintor Rosales frente al nº 38,",2,22,219.74
Francisco Alonso,Monument,CALLE ALCALA 1,Carretas,"Calle Carretas nº 8,",2,21,115.42
Francisco de Asis de Borbón,Monument,PASEO VIRGEN DEL PUERTO 1,Paseo de la Florida,"Paseo de la Florida nº 8,",23,4,412.71
Francisco de Goya,Monument,C Alcalá ,Plaza de Felipe II,"Plaza de Felipe II,",15,8,92.17
Francisco de Goya,Monument,Gta San Antonio de la Florida ,Paseo de la Florida,"Paseo de la Florida nº 8,",23,4,459.16
Francisco de Goya,Monument,Pº Ermita del Santo ,"Calle Comandante Fontanes, 1","Calle Comandante Fontanes, 1,",14,9,594.58
Francisco de Paula Martí Mora,Monument,Pº El Salvador ,"Menéndez Pelayo, entrada Florida Park","Menéndez Pelayo, entrada Florida Park,",6,17,206.47
Francisco de Quevedo y Villegas,Monument,C Huertas 43,Antón Martín,"Calle Atocha nº 54,",11,8,171.25
Francisco de Quevedo y Villegas,Monument,GLORIETA QUEVEDO 1,Quevedo,"Glorieta de Quevedo nº 5,",7,17,81.08
Francisco de Quevedo y Villegas,Monument,C Lope de Vega 17,Huertas,"Calle Jesús nº 1,",4,22,175.06
Francisco Fatou,Monument,Cmno Suerte 23,"Calle del Pico Chilegua, 3","Calle del Pico Chilegua, 3,",22,2,356.62
Francisco Javier,Monument,CALLE MARTIRES DE LA VENTILLA 34,"Calle de Costa Verde, 24","Calle de Costa Verde, 24,",7,16,470.48
Francisco Largo Caballero,Monument,PASEO CASTELLANA 1,Plaza de Colón,"Calle Goya nº 1,",3,20,121.41
Francisco Largo Caballero,Monument,PLAZA CHAMBERI 4,Manuel Silvela,"Calle Manuel Silvela nº 20,",4,23,300.29
Francisco Largo Caballero,Monument,C Francisco Largo Caballero ,"Fernando Gabriel , 5","Fernando Gabriel , 5,",3,21,141.67
Francisco Navarro Ledesma,Monument,C Serrano 72,Ortega y Gasset,"Calle José Ortega y Gasset nº 4,",5,18,48.28
Francisco Palau y Quer,Monument,CALLE PADRE FRANCISCO PALAU Y QUER 1,Torre Cepsa,"Calle Sinesio Delgado nº 2,",1,26,136.5
Francisco Piquer,Monument,Pza Descalzas ,Plaza de Celenque B,"Plaza de Celenque nº 1,",4,20,67.78
Francisco Pizarro,Monument,PASEO CASTELLANA 140,Paseo de la Habana 42,"Paseo de la Habana nº 42,",1,22,270.0
Francisco Tomás y Valiente,Monument,CALLE DOMENICO SCARLATTI 6,Hospital Clínico,"Calle Isaac Peral nº 44,",4,19,155.28
Francisco Villaespesa,Monument,CALLE GALILEO 12,Guzmán el Bueno,"Calle Guzmán el Bueno nº 1,",2,25,256.52
Frascuelo,Monument,C Arenal 22,Plaza de Celenque B,"Plaza de Celenque nº 1,",4,20,145.89
Frases en pavimento urbano eje Museo del Prado- Palacio de Oriente,Monument,Pza Ángel 9,Plaza Ramales,"Plaza de Ramales,",3,20,91.45
Fray Francisco Cabezas,Monument,Pza San Francisco el Grande 1,Plaza de San Francisco,"Plaza de San Francisco nº 5,",7,17,14.67
Fray Pedro Ponce de León,Monument,Avda Eduardo Barreiros 6,"Avenida de la Perla, 35","Avenida de la Perla, 35,",21,2,339.33
Fray Pedro Ponce de León,Monument,AVENIDA CANILLEJAS A VICALVARO 82,"Calle de los Aparejadores, 24","Calle de los Aparejadores, 24,",2,22,433.5
Fray Pedro Ponce de León,Monument,Pº Duque de Fernán Núñez ,Castelló,"Calle Alcalá nº 111,",5,22,195.46
Fuente Amanecer,Monument,Pza Amanecer en Méndez Álvaro ,Méndez Álvaro,"Calle Méndez Álvaro nº 11,",10,12,279.1
Fuente baja del parque Enrique Tierno Galván,Monument, ,"Calle Amaltea , 1","271 - Calle Amaltea , 1,",14,10,225.8
"Fuente Blanca, cascada y estanque bajo del jardín del duque del Arco",Monument,MONTE EL PARDO ,"Calle de Caroli, 1","Calle de Caroli, 1,",8,15,5347.7
Fuente Carlos Jiménez Díaz,Monument,PLAZA CRISTO REY 1,Hospital Clínico,"Calle Isaac Peral nº 44,",4,19,143.9
Fuente Casa de Campo,Monument, ,Paseo de la Florida,"Paseo de la Florida nº 8,",23,4,388.38
Fuente cascada del Museo al aire libre,Monument,Pº Castellana 41,Castellana 42,"Paseo de la Castellana nº 42,",2,21,101.98
Fuente Cascada-Reloj Noria,Monument,CALLE SINESIO DELGADO 40,"Paseo de la Dirección ,frente 297","Paseo de la Dirección, frente 297,",6,9,334.16
Fuente cibernética del Auditorio del parque Juan Carlos I,Monument,AUDITORIO JUAN CARLOS I ,"Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",22,5,707.62
Fuente cibernética D. Juan de Bórbón,Monument,Gta Su Alteza Real Don Juan de Borbón y Battemberg ,"Calle del Boj, 5","Calle del Boj, 5,",8,14,537.75
Fuente circular con escultura en El Pardo,Monument,PLAZA CAUDILLO 1,"Calle de Gloria Fuertes, 181","Calle de Gloria Fuertes, 181,",21,6,5200.25
Fuente circular de la Quinta de los Molinos,Monument,C Alcalá 527,"Calle Alcala, 506","Calle Alcalá, 506,",12,11,163.1
Fuente circular del barrio Alameda de Osuna,Monument,C Bergantín ,"Avenida de Cantabria, 6","Avenida de Cantabria, 6,",18,6,292.99
Fuente circular del barrio de San Miguel,Monument,C Costa del Sol 1,"Calle de Velacho Alto, 2","Calle de Velacho Alto, 2,",3,21,565.27
Fuente circular del Instituto Ponce de León,Monument,Avda Eduardo Barreiros 6,"Avenida de la Perla, 35","Avenida de la Perla, 35,",21,2,353.06
Fuente circular del parque Amós Acero,Monument, ,"Calle de Carlos Martin Alvarez, 38","Calle de Carlos Martin Alvarez, 38,",2,21,285.04
Fuente circular del parque de Pradolongo,Monument,PARQUE PRADOLONGO ,"Doctor Tolosa Latour, 7","Doctor Tolosa Latour, 7,",12,11,193.82
Fuente circular del parque de San Isidro,Monument,C San Isidro ,Calle de Ervigio,"Calle de Ervigio,",20,3,359.11
Fuente circular del parque Eugenia de Montijo,Monument, ,"382-Parque Eugenia de Montijo, 2","Parque Eugenia de Montijo, 2,",15,9,188.18
Fuente circular del parque Fuente del Berro,Monument, ,Quinta Fuente del Berro,"Calle Sancho Dávila esquina Paseo Marqués de Zafra,",6,18,261.02
Fuente circular del parque María Eva Duarte de Perón,Monument, ,Ortega y Gasset 87,"Calle Ortega y Gasset nº 87,",2,21,216.73
Fuente circular del parque Rodríguez Sahagún,Monument,CALLE OFELIA NIETO 83,"Calle Ofelia Nieto, 75","Calle Ofelia Nieto, 75,",3,20,67.53
Fuente circular en la calle Almendrales,Monument,C Almendrales ,Glorieta de Cádiz,"Calle Antonio López nº 129,",11,11,319.72
Fuente circular en la calle Gasómetro,Monument,Pº Doctor Vallejo Nájera s/n,"Juan Antonio Vallejo Nájera Botas, 25","Paseo de Juan Antonio Vallejo Nájera Botas, 28,",7,16,35.82
Fuente circular en la calle Muñoz Grandes,Monument,Paseo Marcelino Camacho 6,"Av de la plaza de Toros , 3","Av de la plaza de Toros , 3,",10,13,191.98
Fuente circular en la glorieta Marques de Vadillo,Monument,Gta Marqués de Vadillo ,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,1,11,113.09
Fuente circular I del parque de Pradolongo,Monument, ,"Doctor Tolosa Latour, 7","Doctor Tolosa Latour, 7,",12,11,108.86
Fuente circular II del parque de Pradolongo,Monument, ,"Gran Avenida, 27","Gran Avenida, 27,",17,7,278.97
Fuente circular III del parque de Pradolongo,Monument,PARQUE PRADOLONGO ,"Doctor Tolosa Latour, 7","Doctor Tolosa Latour, 7,",12,11,193.82
Fuente con canal  del parque Enrique Tierno Galván II,Monument, ,"Calle Amaltea , 1","271 - Calle Amaltea , 1,",14,10,218.91
Fuente con canal del parque Enrique Tierno Galván I,Monument, ,"Calle Amaltea , 1","271 - Calle Amaltea , 1,",14,10,219.3
Fuente con cuatro tazas de la Quinta de los Molinos,Monument,C Alcalá 527,"Juan Ignacio Luca de Tena, 13","C Juan Ignacio Luca de Tena, 13,",10,17,189.26
Fuente con escudo de Madrid,Monument,Pº Bolivia ,Puerta de Madrid,"Avenida de Menéndez Pelayo, 9,",9,18,238.45
Fuente con escultura en el intercambiador de Aluche,Monument,AVENIDA POBLADOS 41,"Calle Valmojado, 295","Calle Valmojado, 295,",2,15,62.02
Fuente con escultura en la avenida de Logroño,Monument,Avda Logroño ,"Avenida de Logroño, 315","566 - Avenida de Logroño, 315,",12,12,82.86
Fuente con escultura en la calle San Jenaro,Monument,C San Jenaro ,"San Jenaro, 1","Calle San Jenaro, 1,",6,18,53.08
Fuente con escultura II en el intercambiador de Aluche,Monument,C Maqueda ,"Calle Valmojado, 295","Calle Valmojado, 295,",2,15,39.14
Fuente con farola en la calle General Ricardos,Monument,C General Ricardos ,Jacinto Verdaguer,"Jacinto Verdaguer,",16,8,144.27
Fuente con grupo escultórico en los jardines de El Pardo,Monument, ,"Calle de Gloria Fuertes, 181","Calle de Gloria Fuertes, 181,",21,6,5164.42
Fuente con ría del parque de Moratalaz,Monument, ,Marroquina,"Calle Camino de los Vinateros nº 108,",10,8,172.37
Fuente con surtidor del parque Fuente del Berro,Monument,PARQUE QUINTA FUENTE DEL BERRO ,Quinta Fuente del Berro,"Calle Sancho Dávila esquina Paseo Marqués de Zafra,",6,18,66.96
Fuente con taza de piedra de la Quinta de los Molinos,Monument,CALLE ALCALA 527,"Calle Alcala, 506","Calle Alcalá, 506,",12,11,39.64
Fuente Cupido dormido,Monument, ,"Ramon Gomez de la Serna, 37","Calle Ramon Gomez de la Serna, 37,",8,16,2075.66
Fuente de Apolo,Monument,Pº Prado ,Cibeles,"Plaza Cibeles,",16,7,165.64
Fuente de beber del parque Cuña Verde,Monument,PARQUE CUÑA VERDE ,Ermita Santo,"Paseo de la Ermita del Santo nº 48,",17,10,122.47
Fuente de Cabestreros,Monument,C Mesón de Paredes ,Plaza de Nelson Mandela,"Calle Mesón de Paredes nº 35,",10,9,42.08
Fuente de Cibeles,Monument,Pza Cibeles ,Cibeles,"Plaza Cibeles,",16,7,78.58
Fuente de Credit Lyonnais,Monument,Pº Castellana 35,Castellana 42,"Paseo de la Castellana nº 42,",2,21,95.79
Fuente de Cupido de La Rosaleda,Monument,Pº Duque de Fernán Núñez ,Puerta del Pacífico ,"Avenida de Menéndez Pelayo nº 69,",9,18,344.23
Fuente de entrada a los Jardines Sabatini,Monument,Gta San Vicente ,Plaza de España A,"Calle Princesa nº 5,",1,17,244.7
Fuente de Esteban Mora,Monument,C Esteban Mora 43,Derechos Humanos,"Calle Derechos Humanos nº 12,",8,16,186.6
Fuente de Europa,Monument,C Fuente de Lima ,"Fuente del Tiro, 27","Calle Fuente del Tiro, 27,",1,23,218.22
Fuente de fundición en la calle Duque de Sevilla,Monument,CALLE DUQUE DE SEVILLA 7,María Francisca 1,"Calle María Francisca nº 3,",1,18,252.54
Fuente de Isabel II o de los galápagos,Monument,PLAZA NICARAGUA 1,Velázquez,"Calle Alcalá nº 95,",2,21,271.63
Fuente de la Alcachofa,Monument,Pza Honduras ,Antonio Maura,"Calle Antonio Maura nº 15,",6,18,463.34
Fuente de la antigua Embajada Británica,Monument,CALLE FERNANDO EL SANTO 16,Alonso Martínez,"Plaza de Alonso Martínez nº 5,",6,18,248.88
Fuente de la Asamblea de Madrid,Monument,Pza Asamblea de Madrid ,"Calle de Candilejas, 5","Calle de Candilejas, 5,",19,4,52.79
Fuente de la Capona,Monument,C Fuente de la Capona ,"Eduardo Maristany, 7","Calle de Eduardo Maristany, 7,",21,6,141.2
Fuente de la Casa de Oficios,Monument, ,"Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",22,5,360.06
Fuente de la Casa del Reloj de la Quinta de los Molinos,Monument,CALLE ALCALA 527,"Calle Alcala, 506","Calle Alcalá, 506,",12,11,39.64
Fuente de la Cebada,Monument,C Toledo ,Plaza de la Cebada,"Plaza de la Cebada nº 16 ,",27,4,37.59
Fuente de la colonia Manzanares,Monument,C Ribera del Manzanares ,"Avenida de Valladolid, 47G","Avenida de Valladolid, 47G, 47,",25,2,194.26
Fuente de la Concha del Parterre,Monument,PARQUE RETIRO ,Castelló,"Calle Alcalá nº 111,",5,22,107.72
Fuente de la Concha o del Nacimiento del Agua,Monument,Pza España ,Plaza de España B,"Calle Princesa nº 5,",15,3,104.82
Fuente de la Cruz Verde,Monument,Pza Cruz Verde ,Plaza del Cordón,"Plaza del Cordón,",1,23,125.99
Fuente de la escultura 'Ventana a Madrid',Monument,Pº Quince de Mayo ,PASEO DE LOS MELANCÓLICOS 73,"PASEO DE LOS MELANCÓLICOS 73,",4,19,534.43
Fuente de La Fraternidad,Monument,PASEO LA HABANA 83,Paseo de la Habana 63,"Paseo de la Habana nº 63,",4,19,361.03
Fuente de la Gaviota,Monument, ,Puerta del Doce de Octubre,"Avenida de Menéndez Pelayo nº 63,",3,24,122.96
Fuente de la glorieta de Luxemburgo,Monument,Gta Luxemburgo ,"Calle de Haendel, 8","Calle de Haendel, 8,",7,19,458.06
Fuente de la Gruta,Monument,PASEO SALON DEL ESTANQUE ,Plaza de la Independencia,"Plaza de la Independencia nº 6,",6,17,304.73
Fuente de la Junta Municipal de Carabanchel,Monument,Pza Carabanchel ,"Plaza de la Parroquia , 20","Plaza de la Parroquia , 20,",2,21,18.18
Fuente de la Junta Municipal de Hortaleza,Monument,Ctra Canillas 2,"Vicente Muzas, 12","Vicente Muzas, 12,",8,15,516.16
Fuente de la Juventud Rosaleda,Monument,CALLE ROSALEDA 1,Pintor Rosales,"Paseo del Pintor Rosales frente al nº 38,",2,22,188.94
Fuente de la Perdiz,Monument,PASEO PIÑONERO 4,"Calle Santa Pola, 22","318 - Calle Santa Pola, 22,",14,9,198.33
Fuente de la Pirámide en los jardines de El Pardo,Monument, ,"Calle de Gloria Fuertes, 181","Calle de Gloria Fuertes, 181,",21,6,5011.29
Fuente de la Piña en la Casa de Campo,Monument,Pº Torrecilla ,Paseo de la Florida,"Paseo de la Florida nº 8,",23,4,430.94
Fuente de la Piña en Villaverde,Monument,CALLE ALCARRIA ,"Calle Cifuentes, 5","Calle Cifuentes, 5,",11,12,187.39
Fuente de la plaza de Mercurio,Monument,Pza Mercurio ,"Plaza Mayor de Barajas, 24","Plaza Mayor de Barajas, 24,",6,18,142.63
Fuente de la Puerta de la Independencia,Monument,Pº México ,Plaza de la Independencia,"Plaza de la Independencia nº 6,",6,17,63.36
Fuente de la Rosaleda,Monument, ,"Calle de la Duquesa de Parcent, 14","Calle de la Duquesa de Parcent, 14,",6,17,523.67
Fuente de la Salud de la Casa de Campo,Monument,PASEO PIÑONERO 4,"Calle Santa Pola, 22","318 - Calle Santa Pola, 22,",14,9,198.33
Fuente de la Salud del parque del Oeste,Monument,PARQUE OESTE ,Moncloa,"Paseo de Moret nº 2,",6,16,338.93
Fuente de la Salud del Retiro,Monument, ,Velázquez,"Calle Alcalá nº 95,",2,21,84.37
Fuente de la Sardana,Monument,GLORIETA SARDANA ,"Menéndez Pelayo, entrada Florida Park","Menéndez Pelayo, entrada Florida Park,",6,17,295.83
Fuente de la Unión y el Fénix,Monument,Pº Castellana 33,Castellana 33,"Castellana 33,",4,19,43.85
Fuente de la Vaguada,Monument,CALLE GINZO DE LIMIA 2,Ginzo de Limia  36,"Ginzo de Limia, 36,",4,20,212.66
Fuente de las Conchas,Monument, campo ,"Avenida del Ensanche de Vallecas, 9","Avenida del Ensanche de Vallecas, 9,",17,10,
Fuente de las Covas,Monument,Pº Azul ,Puerta del Ángel,"Plaza Puerta del Ángel nº 4,",17,10,470.12
Fuente de las Cuatro náyades o de las Sirenas,Monument, ,Velázquez,"Calle Alcalá nº 95,",2,21,199.49
Fuente de las Moreras,Monument,Gta Puerta Moreras ,"Avenida de Valladolid, 47G","Avenida de Valladolid, 47G, 47,",25,2,588.12
Fuente de las Naciones,Monument,C Guzmán el Bueno 133,San Francisco de Sales,"Calle General Ampudia nº 2,",2,22,230.9
Fuente de las Ranas,Monument, ,"Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",22,5,286.46
Fuente de las Siete Hermanas,Monument,PARQUE CASA DE CAMPO ,"Calle de las Rosas de Aravaca, s/n","Calle de las Rosas de Aravaca, s/n,",3,20,1900.56
Fuente de los Barcos,Monument,PARQUE SAN ISIDRO ,PASEO DE LOS MELANCÓLICOS 73,"PASEO DE LOS MELANCÓLICOS 73,",4,19,582.49
Fuente de los caballitos de Hortaleza,Monument,C Mar Amarillo ,"Avenida Barranquilla, 17","Avenida Barranquilla, 17,",11,13,117.87
Fuente de los Caballos,Monument,C Arnedo 22,"Plaza de la Parroquia , 20","Plaza de la Parroquia , 20,",2,21,285.14
Fuente de los Caños,Monument,GLORIETA CAÑOS ," Paseo de la Venta, 1","Paseo de la Venta, 1,",7,20,893.34
Fuente de los Caños del Peral,Monument,Pza Isabel II ,Palacio de Oriente,"Calle Carlos III nº 1,",3,13,114.27
Fuente de los Cuarteles de Daoiz y Velarde,Monument,Avda Ciudad de Barcelona 160,Pedro Bosch,"Calle Cerro de la Plata nº 2,",22,1,290.05
Fuente de los cuatro delfines del jardín de la Quinta del duque del Arco,Monument,MONTE EL PARDO ,"Calle de Caroli, 1","Calle de Caroli, 1,",8,15,5347.7
Fuente de los Cupidos,Monument,Avda Reina Victoria 70,Reina Victoria,"Calle Beatriz de Bobadilla frente al nº 2,",4,18,65.87
Fuente de los Cármenes,Monument,Gta Cármenes ,"Calle de la Duquesa de Parcent, 14","Calle de la Duquesa de Parcent, 14,",6,17,110.63
Fuente de los Delfines,Monument, ,"Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",22,5,278.37
Fuente de los Delfines,Monument,PLAZA REPUBLICA ARGENTINA 1,Castellana 106,"Paseo de la Castellana nº 106,",2,21,407.97
Fuente de los Delfines del Parterre,Monument,PARQUE RETIRO ,Castelló,"Calle Alcalá nº 111,",5,22,107.72
Fuente de los jardines Enrique Herreros,Monument,CALLE CEA BERMUDEZ 2,Canal,"Calle José Abascal frente al nº 2,",7,16,160.38
Fuente de los Leones,Monument,Avda Manoteras 1,"Calle de Dulce Chacon, sn","Calle de Dulce Chacon, sn,",1,22,816.82
Fuente de los Libros,Monument,Pza Dalí ,Plaza de Felipe II,"Plaza de Felipe II,",15,8,89.25
Fuente de los Neveros,Monument,Gta Patines ,"Paseo de Puerta del Angel, 10 (M. Lago)","Paseo de Puerta del Angel, 10 ( metro Lago),",17,2,89.76
Fuente de los Patos,Monument,Pº Prado ,Cibeles,"Plaza Cibeles,",16,7,58.34
