Place of interest,Type of place,Place address,BiciMAD station,Station location,Available bikes,Available docks,distance
Fuentecillas del Jardín Botánico,Monument,Pza Murillo 2,Almadén,"Calle Almadén nº 28,",17,6,167.11
Fuentecillas del Prado,Monument,Pº Prado ,Almadén,"Calle Almadén nº 28,",17,6,172.23
Fuentecita columna torsa. Jardín Príncipe de Anglona,Monument, ,Plaza del Cordón,"Plaza del Cordón,",15,9,121.55
Fuentes avenida de los Poblados-Rafaela Ybarra,Monument,Avda Poblados ,"Avenida de los Poblados, 130","Avenida de los Poblados, 130,",13,10,87.46
Fuentes Barrilete,Monument,AVENIDA BETANZOS 1,"Chantada, 2","Calle Chantada, 2,",3,21,211.02
Fuentes con surtidores en la Gran Vía de Villaverde,Monument,C Gran Vía de Villaverde ,"Eduardo Maristany, 7","Calle de Eduardo Maristany, 7,",26,1,246.73
Fuentes de Caracol,Monument,Pq Cuña Verde ,"Calle Cebreros, 97","Calle Cebreros, 97,",5,18,556.23
Fuentes de Embajadores,Monument,C Embajadores ,Embajadores 1,"Glorieta de Embajadores nº 6,",13,11,33.64
Fuentes de la Alcachofa del Parterre,Monument,Pº Parterre ,Antonio Maura,"Calle Antonio Maura nº 15,",2,22,228.08
Fuentes de la avenida de la Ilustración,Monument,AVENIDA ILUSTRACION ,"Calle La Cabrera, sn","Calle La Cabrera, sn,",15,12,1055.3
Fuentes de la avenida Poblados,Monument,Avda Poblados ,"Avenida de Abrantess, 108","Avenida de Abrantes, 108,",7,14,443.69
Fuentes de la Bellota,Monument, ,Puerta del Doce de Octubre,"Avenida de Menéndez Pelayo nº 63,",15,12,113.91
Fuentes de la Junta de la Arganzuela,Monument,Pº Chopera 10,Entrada Matadero,"Paseo de la Chopera nº 14,",38,5,90.5
Fuentes de la plaza de Oriente,Monument,Pza Oriente ,San Quintín,"Calle Pavía nº 6,",8,19,113.3
Fuentes de la Puerta del Sol,Monument,Pº Federico García Lorca ,"Paseo de Federico Garcia Lorca, 4","Paseo de Federico Garcia Lorca, 4,",1,16,236.48
Fuentes del parque Vaguada,Monument,Avda Betanzos ,"Avenida Monforte de Lemos, 123","Avenida Monforte de Lemos, 123,",22,2,168.46
Fuentes en la calle Hermanos García Noblejas,Monument,AVENIDA INSTITUCION LIBRE DE ENSE&amp;Ntilde;ANZA 128,"Hermanos Garcia Noblejas, 158","Hermanos Garcia Noblejas, 158,",11,13,156.63
Fuentes en la calle Vía Lusitana,Monument,C Braganza ,"Calle de la Via, 52","Calle de la Via,",6,17,284.48
Fuentes en la glorieta Ruíz Giménez y monolito primera Fuente Canal Y II,Monument,CALLE JOAQUIN RUIZ-GIMENEZ CORTES ,"C Sierra de Guadalupe, 11","C Sierra de Guadalupe, 11,",2,24,560.83
Fuentes en la plaza de Ciudad Lineal,Monument,C Alcalá 416,"Misterios, 1","Misterios,1,",7,15,106.71
Fuentes en la vía Lusitana,Monument,C Juan Ramón Carrero ,"Av Abrantes, 55","Av Abrantes, 55,",12,12,263.6
Fuentes en la vía Lusitana,Monument,C Faro ,"Av Abrantes, 55","Av Abrantes, 55,",12,12,176.53
Fuentes estrelladas del Jardín Botánico,Monument,Pza Murillo 2,Puerta del Ángel Caído,"Avenida de Alfonso XII nº 54,",14,12,218.83
Fuentes gemelas de la glorieta Boccherini,Monument,GLORIETA BOCCHERINI ,Segovia 45,"Calle Segovia nº 45,",16,11,182.45
Fuentes gemelas de la Puerta del Sol,Monument,Pza Sol ,Conde de Romanones,"Plaza del Conde de Romanones nº 9,",15,3,363.74
Fuentes gemelas de la Quinta de los Molinos,Monument,CALLE ALCALA 527,"Calle Alcala, 506","Calle Alcalá, 506,",5,18,39.64
Fuentes gemelas de los jardines de Sabatini,Monument, ,San Quintín,"Calle Pavía nº 6,",8,19,197.03
Fuentes gemelas de los jardines del Campo del Moro,Monument, ,Segovia 45,"Calle Segovia nº 45,",16,11,436.59
Fuentes gemelas del jardín de la Quinta del duque de Arco,Monument,MONTE EL PARDO ,"Calle de Caroli, 1","Calle de Caroli, 1,",6,17,5347.7
Fuentes gemelas del palacio nuevo del duque de Riansares,Monument,C Arnedo 22,"Plaza de la Parroquia , 20","Plaza de la Parroquia , 20,",6,17,310.88
Fuentes gemelas del palacio viejo de la reina Cristina,Monument,CALLE GENERAL RICARDOS 179,"Av de la plaza de Toros , 3","Av de la plaza de Toros , 3,",2,21,52.14
Fuentes gemelas del parque Fuente del Berro,Monument, ,Quinta Fuente del Berro,"Calle Sancho Dávila esquina Paseo Marqués de Zafra,",15,9,244.95
Fuentes gemelas en los jardines de El Pardo,Monument, ,"Avenida del Ensanche de Vallecas, 9","Avenida del Ensanche de Vallecas, 9,",13,14,
Fuentes gemelas López de Hoyos,Monument,CALLE LOPEZ DE HOYOS 27,Velázquez 130,"Calle Velázquez nº 130,",2,25,208.92
Fuentes Lavadero de los jardines de la Virgen del Puerto,Monument,Pº Ermita de la Virgen del Puerto ,Segovia 45,"Calle Segovia nº 45,",16,11,459.51
Fuentes menores de Arganzuela,Monument,PASEO YESERIAS 1,Pirámides,"Calle Toledo nº 181,",12,12,143.94
Fuentes neoclásicas en el Paseo del Prado,Monument,Pº Prado 4,Marqués de Cubas,"Calle del Marqués de Cubas nº 25,",3,20,155.91
Fuentes piramidales,Monument, ,Paseo de la Esperanza,"Paseo de la Esperanza nº 21,",15,7,139.3
Fuentes playa Arganzuela,Monument,Pº Yeserías ,Madrid Río-Yeserías,"Paseo de Yeserías nº 45,",27,0,197.86
Fuentes rectangulares de la Gran Vía de Villaverde,Monument,C Gran Vía de Villaverde ,"Eduardo Maristany, 7","Calle de Eduardo Maristany, 7,",26,1,168.2
Fuente-estanque Paseo del Prado,Monument,Pº Prado 20,Huertas,"Calle Jesús nº 1,",6,19,185.23
Fuente-manantial Jardín Judío,Monument, ,"Avenida del Ensanche de Vallecas, 9","Avenida del Ensanche de Vallecas, 9,",13,14,
Fuente-pilón,Monument,CALLE ROSALEDA 1,Pintor Rosales,"Paseo del Pintor Rosales frente al nº 38,",7,17,188.94
Fundación de la Sociedad General Autores de España (SGAE),Monument,Ctra Fernanflor 10,Marqués de Cubas,"Calle del Marqués de Cubas nº 25,",3,20,41.33
Fusilamiento de Ocho Carmelitas,Monument,C Monseñor Óscar Romero ,"Calle Ocaña, 103","Calle Ocaña, 103,",4,19,379.82
Fusilamientos Montaña Príncipe Pío,Monument,C Francisco y Jacinto Alcántara 1,Pintor Rosales,"Paseo del Pintor Rosales frente al nº 38,",7,17,350.87
Félix Lope de Vega Carpio,Monument,C Huertas 49,Huertas,"Calle Jesús nº 1,",6,19,101.75
Félix Lope de Vega Carpio,Monument,Pza Encarnación ,San Quintín,"Calle Pavía nº 6,",8,19,44.17
Félix Rodríguez de la Fuente,Monument,COMPLEJO ZOOLOGICO DE LA CASA CAMPO ," Paseo de la Venta, 1","Paseo de la Venta, 1,",1,26,846.97
Félix Rodríguez de la Fuente,Monument,PARQUE FELIX RODRIGUEZ DE LA FUENTE ,"Avenida Ramon y Cajal, 101","Avenida Ramon y Cajal, 101,",8,15,222.92
Galería de grutas del jardín de Felipe II,Monument,Pº Embarcadero ,Paseo de la Florida,"Paseo de la Florida nº 8,",22,5,377.41
Galería mirador,Monument,Pza Gabriel Miró ,Segovia 45,"Calle Segovia nº 45,",16,11,192.59
Galicia en Madrid,Monument,Pza Jacinto Benavente ,Conde de Romanones,"Plaza del Conde de Romanones nº 9,",15,3,153.76
Gallia,Monument,C Guzmán el Bueno 133,San Francisco de Sales,"Calle General Ampudia nº 2,",7,17,207.35
García I Rey de León,Monument,Pº República Argentina ,"Avenida del Ensanche de Vallecas, 9","Avenida del Ensanche de Vallecas, 9,",13,14,
Gaspar Melchor de Jovellanos,Monument,C Juanelo 18,Plaza de la Cebada,"Plaza de la Cebada nº 16 ,",20,10,228.26
Gaspar Núñez de Arce,Monument,C Cruzada 4,Plaza Ramales,"Plaza de Ramales,",8,15,33.89
Gaviota,Monument,PASEO CASTELLANA 1,Plaza de Colón,"Calle Goya nº 1,",2,21,121.41
General Bernardo O´Higgins,Monument,Pza Chile ,"Calle Santa Pola, 22","318 - Calle Santa Pola, 22,",21,2,349.55
General Francisco Morazán,Monument,Pza Honduras ,Antonio Maura,"Calle Antonio Maura nº 15,",2,22,466.74
General Ibáñez de Ibero,Monument,C Jorge Juan 8,Colón B,"Calle Serrano nº 32,",4,15,124.22
General Manuel Cassola,Monument,Pº Moret ,Moncloa,"Paseo de Moret nº 2,",4,19,97.36
General Martín Miguel de Güemes,Monument,PLAZA CIUDAD DE SALTA 1,"Avenida Ramon y Cajal, 101","Avenida Ramon y Cajal, 101,",8,15,135.68
General Martínez Campos,Monument,Pza Guatemala ,"Menéndez Pelayo, entrada Florida Park","Menéndez Pelayo, entrada Florida Park,",1,22,188.32
General Vara de Rey y Héroes del Caney,Monument,Avda Ciudad de Barcelona 4,"Paseo Reina Cristina,6","Paseo Reina Cristina,6,",17,6,201.27
Geometría Natural,Monument,C Sierra de Molina ,"Calle de Carlos Martin Alvarez, 38","Calle de Carlos Martin Alvarez, 38,",13,10,251.75
Gerardo Diego,Monument,C Pío Baroja 4,Pío Baroja,"Calle Pío Baroja nº 10,",8,15,68.37
Germania,Monument,CALLE GUZMAN EL BUENO 133,San Francisco de Sales,"Calle General Ampudia nº 2,",7,17,204.74
Gloria Fuertes,Monument,PLAZA PERU 1,Pío XII,"Avenida Pío XII nº 3,",5,18,103.36
Gonzalo Ceballos,Monument,Pza Cordón 2,Plaza del Cordón,"Plaza del Cordón,",15,9,21.16
Goya,Monument,C Felipe IV ,"Calle Felipe IV, 3","Calle Felipe IV, 3,",5,18,59.42
Goya,Monument,C Francisco y Jacinto Alcántara ,Pintor Rosales,"Paseo del Pintor Rosales frente al nº 38,",7,17,370.3
Gregorio Marañón,Monument,PASEO CASTELLANA 53,Zurbano,"Calle Zurbano nº 90,",2,21,115.58
Gregorio Marañón,Monument,Pza Ramón y Cajal ,Ciudad Universitaria 2,"Avenida de la Complutense (Metro Ciudad Universitaria),",6,13,155.6
Gregorio Ordóñez,Monument,CALLE PRINCIPE DE VERGARA 142,María Francisca 1,"Calle María Francisca nº 3,",3,16,97.23
Grupo escultórico a la Universidad en Cantoblanco,Monument, ,"Calle del Monasterio de Sobrado, 6","602 - Calle del Monasterio de Sobrado, 6,",5,19,3896.11
Grupo escultórico C. Especialidades V. Soldevilla I,Monument,C Sierra de Alquife 8,"418 -Calle Puerto de Arlaban, 83","Calle Puerto de Arlaban, 83,",6,20,276.55
Grupo escultórico C. Especialidades V. Soldevilla II,Monument,CALLE SIERRA DE ALQUIFE 8,"418 -Calle Puerto de Arlaban, 83","Calle Puerto de Arlaban, 83,",6,20,287.0
Grupo escultórico mujer y tortuga,Monument,Pº Alberto Palacios 1,"Doctor Martín Arévalo, 19","Calle Doctor Martín Arévalo, 19,",4,19,144.73
Gruta de la Fuente de las Ranas,Monument, ,"Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",19,8,293.64
Gruta del Laberinto,Monument, ,"Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",19,8,249.28
Guillermo Fernández Shaw,Monument,C Claudio Coello 60,Serrano 54,"Calle Serrano nº 54,",1,22,181.34
Gundemaro,Monument,Pº República Argentina ,Antonio Maura,"Calle Antonio Maura nº 15,",2,22,106.7
Gustavo Adolfo Bécquer,Monument,CALLE HUERTAS 20,Plaza de Santa Ana,"Plaza de Santa Ana nº 10,",8,7,92.1
Gustavo Adolfo Bécquer,Monument, ,Quinta Fuente del Berro,"Calle Sancho Dávila esquina Paseo Marqués de Zafra,",15,9,170.64
Gómez de la Serna Ramon,Monument,C Guillermo Rolland 7,San Quintín,"Calle Pavía nº 6,",8,19,151.79
Haciendo futuro,Monument,CALLE PRINCIPE DE VERGARA 156,Parque Berlín,"Avenida de Concha Espina nº 34,",6,17,346.25
Hércules y la Hidra de Lerna,Monument,Pº Duque de Fernán Núñez ,Puerta del Pacífico ,"Avenida de Menéndez Pelayo nº 69,",1,26,217.04
Hermanos Falcó y Álvarez de Toledo,Monument,PLAZA MAYOR DE BARAJAS 1,"Plaza Mayor de Barajas, 24","Plaza Mayor de Barajas, 24,",15,8,39.49
Hernán Cortés,Monument,Avda Séneca 4,Paseo de Moret,"Paseo de Moret nº 11,",10,13,451.7
Héroes del Dos de Mayo,Monument,C Bailén ,San Quintín,"Calle Pavía nº 6,",8,19,186.32
Héroes Populares del Dos de Mayo,Monument,Pza Puerta del Sol 8,Conde de Romanones,"Plaza del Conde de Romanones nº 9,",15,3,322.24
Herón,Monument,PLAZA COLON 2,Marqués de la Ensenada,"Calle Marqués de la Ensenada nº 16,",2,21,96.56
Hexaedro o cubo-Tierra,Monument, ,"Paseo de los Pontones, 45","Paseo de los Pontones, 45,",20,3,304.36
Hiberia,Monument,CALLE GUZMAN EL BUENO 133,San Francisco de Sales,"Calle General Ampudia nº 2,",7,17,204.74
Hilarión Eslava y Emilio Arrieta,Monument,C San Quintín 8,San Quintín,"Calle Pavía nº 6,",8,19,99.19
Hipólito Yrigoyen,Monument,Gta 12 de octubre de 1492 ,"Menéndez Pelayo, entrada Florida Park","Menéndez Pelayo, entrada Florida Park,",1,22,312.3
Hispanidad,Monument,AVENIDA VICTORIA 2,"Calle de Caroli, 1","Calle de Caroli, 1,",6,17,2820.28
Hito de hormigón I,Monument, ,"Avenida del Ensanche de Vallecas, 9","Avenida del Ensanche de Vallecas, 9,",13,14,
Hito de hormigón II,Monument, ,"Avenida del Ensanche de Vallecas, 9","Avenida del Ensanche de Vallecas, 9,",13,14,
Hogar Ferroviario-Trenes,Monument,C Manuel María Arrillaga s/n,"Avenida Moratalaz, 25","Avenida Moratalaz, 25,",14,10,61.36
Hombre con niño,Monument,C Antonio López ,San Delfín,"Calle San Delfín nº 9,",16,1,20.52
Hombre Sentado,Monument,Pza Paja ,Plaza de los Carros,"Carrera de San Francisco nº 1,",20,7,150.28
Hombres y Proporciones,Monument,PASAJE MAESTROS LADRILLEROS 1,Muller,"Calle Muller,",1,23,60.95
Homenaje a Agustín Rodríguez-Sahagún,Monument, ,"Avenida del Ensanche de Vallecas, 9","Avenida del Ensanche de Vallecas, 9,",13,14,
Homenaje a Galileo Galilei,Monument, ,"Avenida del Ensanche de Vallecas, 9","Avenida del Ensanche de Vallecas, 9,",13,14,
Homenaje a García Lorca - Arco en el pentágono,Monument,C Puerto del Milagro ,"Calle de Candilejas, 5","Calle de Candilejas, 5,",15,8,473.25
Homenaje a Goya - La Maja desnuda,Monument,Trav Felipe de Diego 19,"Calle de Romeo y Julieta, 12","Calle de Romeo y Julieta, 12,",27,0,226.87
Homenaje a la Mar,Monument,Pº Venezuela ,"Menéndez Pelayo, entrada Florida Park","Menéndez Pelayo, entrada Florida Park,",1,22,416.18
Homenaje a la Música,Monument,PLAZA ANDRES SEGOVIA 1,María Francisca 1,"Calle María Francisca nº 3,",3,16,114.35
Homenaje a Lissitzky,Monument,Pº Pirala ,Puente de Ventas,"Avenida de Daroca nº 2,",4,23,66.7
Homenaje a Miró,Monument, ,"Molins de Rey, 8","Calle Molins de Rey, 8,",14,10,182.91
Homenaje a Pío Baroja,Monument,Avda Andalucía ,"Paseo de los Gigantes y Cabezudos, 4","Paseo de los Gigantes y Cabezudos, 4,",3,21,94.15
Homenaje victimas del 11-M,Monument,Avda Complutense ,Ciudad Universitaria 2,"Avenida de la Complutense (Metro Ciudad Universitaria),",6,13,155.75
Humanistas Españoles,Monument,C Villa 2,Segovia 26,"Calle Segovia nº 26,",9,18,76.01
Humilladero de la ermita del Santo Cristo de la Guía,Monument,CALLE CASALARREINA 26,Calle Casalarreina 18,"Calle Casalarreina,",2,22,107.82
Hypnos,Monument,C Las Marismas 41,"Calle Ramon Perez de Ayala, 45","Calle Ramon Perez de Ayala, 45,",14,10,220.29
Hércules y el León de Nemea,Monument,Pº Duque de Fernán Núñez ,"Menéndez Pelayo, entrada Florida Park","Menéndez Pelayo, entrada Florida Park,",1,22,176.96
Héroes de la Independencia de 1808,Monument,C Isla de Java ," Isla Graciosa, 2","Calle de la Isla Graciosa, 2,",6,17,49.96
Héroes del Plus Ultra,Monument,C Princesa 92,Arcipreste de Hita B,"Calle Arcipreste de Hita nº 12,",4,18,53.19
Héroes del Siete de Julio,Monument,C Mayor 24,Plaza de San Miguel,"Plaza de San Miguel nº 9,",15,9,133.2
Hórreo del pabellón de Pontevedra,Monument,C Ganadería ,Puerta del Ángel,"Plaza Puerta del Ángel nº 4,",23,4,261.34
Icosaedro-Agua,Monument,Pº Doctor Vallejo Nájera ,Paseo de la Esperanza,"Paseo de la Esperanza nº 21,",15,7,41.69
Iglesia de Montserrat,Monument,C San Bernardo 79,San Hermenegildo,"Calle San Bernardo nº 85,",7,19,91.45
Iglesia de San Juan Evangelista,Monument,Pza Venecia 1,Avenida Bruselas,"Avenida Bruselas nº 56,",2,21,198.67
Iglesia Ntra. Sra. Buena Dicha,Monument,C Silva 21,Miguel Moya,"Calle Miguel Moya nº 1,",19,8,138.79
Iglesia Nuestra Señora Buena Dicha. Lápida conmemorativa,Monument,C Silva 21,Miguel Moya,"Calle Miguel Moya nº 1,",19,8,140.18
Iglesia parroquial de San Juan,Monument,Pza Ramales 1,Plaza Ramales,"Plaza de Ramales,",8,15,28.24
Iglesia parroquial de Santiago,Monument,C Santiago 4,Plaza Ramales,"Plaza de Ramales,",8,15,77.25
Iglesia Sagrados Corazones,Monument,PLAZA SAGRADOS CORAZONES 1,Paseo de la Habana 42,"Paseo de la Habana nº 42,",5,18,228.97
Iglesia San Cayetano,Monument,C Embajadores 15,Plaza de Nelson Mandela,"Calle Mesón de Paredes nº 35,",5,14,169.58
Iglesia San Ginés,Monument,CALLE ARENAL 13,Plaza de San Miguel,"Plaza de San Miguel nº 9,",15,9,280.85
Iglesia San Salvador,Monument,C Mayor 70,Plaza de San Miguel,"Plaza de San Miguel nº 9,",15,9,67.96
Iglesia Santa María la Real de la Almudena,Monument,C Mayor 88,Segovia 26,"Calle Segovia nº 26,",9,18,144.5
Ignacio de Valentín-Gamazo,Monument,CALLE LUCHANA 1,Malasaña,"Calle Manuela Malasaña nº 5,",6,21,103.16
Ignacio Zuloaga,Monument,Pza Gabriel Miró ,Segovia 45,"Calle Segovia nº 45,",16,11,218.51
Ilusión truncada Monumento víctimas 11-M,Monument,Avda Santa Eugenia ,"Avenida de Santa Eugenia, 9","Avenida de Santa Eugenia, 9,",4,20,119.93
Imax,Monument,C Meneses ,"Calle Ariel, 7","Calle Ariel, 7,",24,0,220.43
Imprenta,Monument,Avda Eduardo Barreiros 6,"Avenida de la Perla, 35","Avenida de la Perla, 35,",16,7,347.61
Imprenta Juan de la Cuesta,Monument,C Atocha 87,Santa Isabel,"Calle Santa Isabel 32,",17,10,117.9
Imprenta Juan de la Cuesta,Monument,C San Eugenio 7,Santa Isabel,"Calle Santa Isabel 32,",17,10,39.72
Inauguración Colegio Mayor Iberoamericano Nuestra Señora de Guadalupe,Monument,Avda Séneca 6,INEF,"Avenida Juan de Herrera frente a la calle Paul Guinard,",2,21,462.52
Inauguración del Banco España,Monument,Pº Prado 2,Cibeles,"Plaza Cibeles,",9,14,54.09
Inauguración Parque Cuarto Depósito CYII,Monument,CARRETERA CASTILLA 12,"Calle Santa Pola, 22","318 - Calle Santa Pola, 22,",21,2,890.75
Inauguración Parque Cuarto Depósito CYII,Monument,Ctra Castilla 9,Plaza de Castilla 2,"Paseo Castellana (Fundación Canal),",2,21,157.31
Indalecio Prieto,Monument,PASEO CASTELLANA 63,Plaza de San Juan de la Cruz,"Plaza de San Juan de la Cruz nº 11,",7,16,171.39
Indalecio Prieto Tuero,Monument,PLAZA SAN JUAN DE LA CRUZ 1,Plaza de San Juan de la Cruz,"Plaza de San Juan de la Cruz nº 11,",7,16,26.79
Infanta Doña Isabel de Borbón,Monument,Pº Pintor Rosales ,Pintor Rosales,"Paseo del Pintor Rosales frente al nº 38,",7,17,108.53
Inmaculada,Monument,C Francisco y Jacinto Alcántara ,Pintor Rosales,"Paseo del Pintor Rosales frente al nº 38,",7,17,359.26
Instituto Científico Weizmann,Monument,CALLE SERRANO 117,Serrano 113,"Calle Serrano nº 113B,",5,22,195.46
Instituto Industrial Isabel II,Monument,C Doctor Cortezo 4,Conde de Romanones,"Plaza del Conde de Romanones nº 9,",15,3,82.99
Instituto Nacional de Educación Física,Monument,C Martín Fierro ,INEF,"Avenida Juan de Herrera frente a la calle Paul Guinard,",2,21,210.6
Iris,Monument,Pº Castellana ,Plaza de Colón,"Calle Goya nº 1,",2,21,42.65
Isabel la Católica,Monument,PASEO CASTELLANA 1,Plaza de Colón,"Calle Goya nº 1,",2,21,121.41
Isabel la Católica,Monument, ,San Quintín,"Calle Pavía nº 6,",8,19,250.16
Isabel la Católica,Monument,Avda Reyes Católicos ,Hospital Clínico,"Calle Isaac Peral nº 44,",4,18,327.01
Ivo Andric,Monument,C Velázquez 27,Goya 18,"Calle Goya nº 18,",3,24,77.18
Jacinto Alcántara,Monument, ,Pintor Rosales,"Paseo del Pintor Rosales frente al nº 38,",7,17,310.52
Jacinto Benavente,Monument,PARQUE RETIRO ,Castelló,"Calle Alcalá nº 111,",6,21,107.72
Jacinto Benavente,Monument,CALLE ATOCHA 26,Plaza de Santa Ana,"Plaza de Santa Ana nº 10,",8,7,148.17
Jacinto Verdaguer,Monument,GLORIETA SARDANA ,"Menéndez Pelayo, entrada Florida Park","Menéndez Pelayo, entrada Florida Park,",1,22,295.83
Jaime Balmes,Monument,C Leganitos 5,Santo Domingo,"Plaza de Santo Domingo nº 1,",15,9,134.3
Jaime I El Conquistador,Monument, ,San Quintín,"Calle Pavía nº 6,",8,19,222.92
"Jaime I El Conquistador, Rey de Aragón",Monument,C Francisco y Jacinto Alcántara ,Pintor Rosales,"Paseo del Pintor Rosales frente al nº 38,",7,17,343.84
Jardines del Maestro Padilla,Monument, ,"Paseo de los Pontones, 45","Paseo de los Pontones, 45,",20,3,161.42
Jardines Manuel González Carmona,Monument,C Villafuerte ,"Calle de Bohemios, 1","Calle de Bohemios, 1,",7,16,327.05
Jarrones de la Fuente de los Patos,Monument,Pº Prado ,Cibeles,"Plaza Cibeles,",9,14,56.14
Jarrones de la Rosaleda,Monument,C Rosaleda ,Pintor Rosales,"Paseo del Pintor Rosales frente al nº 38,",7,17,189.0
Jarrones de la Rosaleda del Retiro,Monument,PARQUE RETIRO ,Castelló,"Calle Alcalá nº 111,",6,21,107.72
Jarrones del Instituto de Estudios Fiscales,Monument,Avda Cardenal Herrera Oria 378,"Ramon Gomez de la Serna, 37","Calle Ramon Gomez de la Serna, 37,",6,18,2085.5
Jarrones del jardín de la Quinta del duque del Arco,Monument,MONTE EL PARDO ,"Calle de Caroli, 1","Calle de Caroli, 1,",6,17,5347.7
Jarrones en la plaza de Callao,Monument, ,"Avenida del Ensanche de Vallecas, 9","Avenida del Ensanche de Vallecas, 9,",13,14,
Jarrones Franceses del Parterre,Monument,Pº Parterre ,Antonio Maura,"Calle Antonio Maura nº 15,",2,22,209.3
Jarrones Franceses nuevos del Parterre,Monument,PARQUE RETIRO ,Castelló,"Calle Alcalá nº 111,",6,21,107.72
Jarrones jardines Palacio de El Pardo,Monument,CALLE MANUEL ALONSO 1,"Calle de Gloria Fuertes, 181","Calle de Gloria Fuertes, 181,",27,0,5178.94
Jarrón Campo del Moro,Monument, ,"Avenida del Ensanche de Vallecas, 9","Avenida del Ensanche de Vallecas, 9,",13,14,
Jean-Jacques Rousseau,Monument,Pza Salesas ,Plaza de las Salesas,"Plaza de las Salesas 7,",5,22,55.59
Jerónimo Iborra-García,Monument,CALLE DOCTOR JERONIMO IBORRA 16,"Eugenia de Montijo, 83","Calle Eugenia de Montijo, 83,",2,22,46.67
Jesús de Monasterio y Agüeros,Monument,C Bailén 11,San Quintín,"Calle Pavía nº 6,",8,19,145.02
Jesús Guridi,Monument,C Sagasta 12,Fuencarral,"Calle Fuencarral nº 108,",2,25,189.88
Joaquín Costa,Monument,Pº Pontones 8,Paseo Imperial,"Paseo Imperial nº 20,",13,14,312.24
Joaquín Costa,Monument,C Barquillo 11,PriM,"Calle Prim nº 2,",7,21,96.27
Joaquín Ibarra,Monument,C Núñez de Arce 11,Plaza de Santa Ana,"Plaza de Santa Ana nº 10,",8,7,112.38
Joaquín Turina,Monument,C Alfonso XII 7,Antonio Maura,"Calle Antonio Maura nº 15,",2,22,206.06
Jose Gomez 'Gallito',Monument,C Arrieta 14,San Quintín,"Calle Pavía nº 6,",8,19,44.68
Jose Martí,Monument,PASEO LA HABANA 9,Castellana frente a Hermanos Pinzón,"Paseo de la Castellana nº 122,",6,17,126.0
Jose María Roquero Vera,Monument,CALLE ELOY GONZALO 38,Santa Engracia 87,"Calle Santa Engracia nº 87,",8,19,144.34
Josefina Romo,Monument,C Arrieta 14,San Quintín,"Calle Pavía nº 6,",8,19,44.25
José  Serrano Simeón,Monument,C Beneficencia 2,Barceló,"Calle Barceló nº 7,",15,4,123.08
José Agustín Pérez del Pulgar,Monument,C San Jaime 21,"C Sierra de Guadalupe, 11","C Sierra de Guadalupe, 11,",2,24,315.7
José Anselmo Clavé,Monument,C José Anselmo Clavé 1,"Paseo Reina Cristina,6","Paseo Reina Cristina,6,",17,6,198.91
José Antonio Primo de Rivera,Monument,C Génova 24,Marqués de la Ensenada,"Calle Marqués de la Ensenada nº 16,",2,21,109.59
José Calvo Sotelo,Monument,C Velázquez 89,Velázquez-Diego de León,"Calle Velázquez nº 91,",3,20,26.26
José Calvo Sotelo,Monument,PLAZA CASTILLA 1,Plaza de Castilla 2,"Paseo Castellana (Fundación Canal),",2,21,124.13
José Cubero (Yiyo),Monument,CALLE SAN MARIANO 37,"Calle San Mariano, 58","Calle San Mariano, 58,",23,3,12.14
José Cubero (Yiyo),Monument,CALLE ALCALA 231,Alcalá-Ventas,"Calle Alejandro González nº 1,",2,21,74.15
José de Espronceda,Monument,C Huertas 80,Huertas,"Calle Jesús nº 1,",6,19,116.83
José de San Martín,Monument,C Martín Fierro ,INEF,"Avenida Juan de Herrera frente a la calle Paul Guinard,",2,21,341.83
José de San Martín,Monument, ,Moncloa,"Paseo de Moret nº 2,",4,19,319.78
José Echegaray y Eizaguirre,Monument,C Huertas 24,Plaza de Santa Ana,"Plaza de Santa Ana nº 10,",8,7,140.09
José García Vara,Monument,C Arrieta 4,Palacio de Oriente,"Calle Carlos III nº 1,",6,12,115.52
José Gervasio Artigas,Monument,PASEO RUPERTO CHAPI ,Paseo de Moret,"Paseo de Moret nº 11,",10,13,204.62
José Ignacio Rivero,Monument, ,"Avenida del Ensanche de Vallecas, 9","Avenida del Ensanche de Vallecas, 9,",13,14,
José Luis Pinto Álvarez,Monument,Me Mercado Mercamadrid ,"Auñón, 16","Calle de Auñón, 16,",12,10,1729.21
José López Silva,Monument,C Cava Baja 42,Plaza de los Carros,"Carrera de San Francisco nº 1,",20,7,95.89
José Martí,Monument,C Desengaño ,Desengaño,"Calle Desengaño nº 1,",11,12,112.95
José María de la Cruz,Monument,C San Jaime 21,"C Sierra de Guadalupe, 11","C Sierra de Guadalupe, 11,",2,24,343.83
José María Iparraguirre,Monument,C Montera 48,Desengaño,"Calle Desengaño nº 1,",11,12,118.48
José María Soler y Guijarro,Monument,Pza Mayor 27,Plaza de San Miguel,"Plaza de San Miguel nº 9,",15,9,212.34
José María Torrijos,Monument,C Preciados 30,Miguel Moya,"Calle Miguel Moya nº 1,",19,8,92.45
José Nogales,Monument,CALLE SANTA ENGRACIA 50,Santa Engracia 87,"Calle Santa Engracia nº 87,",8,19,218.38
José Ortega y Gasset,Monument,CALLE ALFONSO XII 4,Plaza de la Independencia,"Plaza de la Independencia nº 6,",6,17,101.57
